0.000,0.282,0.250,0.290,0.466,0.499,0.637,0.678,0.552,0.383,0.380,0.175
0.337,0.000,0.251,0.428,0.319,0.255,0.087,0.291,0.243,0.191,0.174,0.159
0.212,0.384,0.000,0.161,0.571,0.143,0.234,0.400,0.249,0.436,0.345,0.276
0.200,0.181,0.318,0.000,0.277,0.159,0.238,0.309,0.420,0.252,0.207,0.277
0.344,0.274,0.266,0.336,0.000,0.265,0.317,0.299,0.337,0.399,0.365,0.247
0.350,0.415,0.200,0.340,0.300,0.000,0.197,0.635,0.224,0.425,0.248,0.327
0.148,0.337,0.313,0.323,0.132,0.298,0.000,0.179,0.198,0.214,0.350,0.245
0.480,0.548,0.340,0.360,0.542,0.210,0.368,0.000,0.205,0.284,0.382,0.408
0.436,0.342,0.250,0.100,0.319,0.131,0.318,0.199,0.000,0.268,0.273,0.257
0.290,0.412,0.473,0.477,0.303,0.270,0.217,0.423,0.319,0.000,0.184,0.212
0.230,0.260,0.152,0.164,0.244,0.242,0.136,0.121,0.087,0.169,0.000,0.184
0.111,0.145,0.230,0.240,0.107,0.166,0.171,0.155,0.237,0.246,0.292,0.000
